"WPA-PSK/WPA2-PSK","Wi-Fi Protected Access Pre-Shared Key","無線LAN（Wi-Fi）の暗号化を行うWPA/WPA2のパーソナルモード（WPA/WPA2 Personal）で、アクセスポイントと端末で事前に共有した秘密の符号によって接続認証や暗号化を行う方式。パーソナルモード自体を指すこともある。",
"リモート","remote","い、離れた、遠隔の、隔たりのある、かけ離れた、間接的な、などの意味を持つ英単語。ITの分野では、離れた場所にある二者（人や機器など）が通信回線やネットワークなどを通じて結ばれていることを表す。この意味での対義語は「ローカル」（local）。",
"シーケンス","sequence","連続（しているもの）、一続き（のもの）、順序、順番、並び、配列（する）、逐次、並べる、順序付ける、などの意味を持つ英単語。",
"ドメイン","domain","範囲、領域などの意味を持つ英単語で、ITの分野ではインターネットなどのTCP/IPネットワーク上で機器やネットワークを識別する名（domain name）を指すことが多い。",
"SSL","Secure Sockets Layer","インターネットなどのIPネットワークでデータを暗号化して送受信するプロトコル（通信手順）の一つ。データを送受信する一対の機器間で通信を暗号化し、中継装置などネットワーク上の他の機器による成りすましやデータの盗み見、改竄などを防ぐことができる。",
"ファイアウォール","firewall","ネットワークの境界に設置され、内外の通信を中継・監視し、外部の攻撃から内部を保護するためのソフトウェアや機器、システムなどのこと。原義は「防火壁」で、外部からの攻撃に対する防御を、火事の炎を遮断して延焼を防ぐことになぞらえている。",
"GUI","Graphical User Interface","コンピュータの表示・操作体系（ユーザーインターフェース）の分類の一つで、情報の提示に画像や図形を多用し、基礎的な操作の大半をマウスやタッチスクリーンなどによる画面上の位置の指示により行うことができるもの。",
"コンテキスト","context","文脈、前後関係、事情、背景、状況などの意味を持つ英単語。ITの分野では、利用者の意図や状況、環境などの総体を表したり、同じ処理や記述でも状況に応じて動作などが異なる場合に、その選択基準となる判断材料や条件などを指す場合が多い。",
"タグ","tag","荷札、付箋といった意味の英単語。ITの分野では、特殊な記法により文書内に記述され情報の意味付けなどを行う文字列のことや、文書や情報の分類に用いられる単語や短いフレーズなどのことを指すことが多い。「IC」のように原義の通り物に取り付ける小さな札を指す場合もある。",
"bps","bits per second","通信回線などのデータ伝送速度の単位で、1秒間に何ビットのデータを送れるかを表す。1は1秒間に1ビットのデータを伝送できることを表す。同じく伝送速度の単位にBytes/s（B/s、バイト毎秒）があるが、1バイトは8ビットなので、1Byte/sは8に相当する。",
"ポート番号","port number","インターネットで標準的に用いられるプロトコル（通信規約）であるTCP/IPにおいて、同じコンピュータ内で動作する複数のソフトウェアのどれが通信するかを指定するための番号。単に「ポート」と略されることもある。",
"HTML","HyperText Markup Language","Webページを記述するためのマークアップ言語。文書の論理構造や表示の仕方などを記述することができる。W3Cによって標準化が行われており、大半のWebブラウザは標準で文書の解釈・表示が行える。",
"マイコン","microcontroller","マイクロコントローラあるいはマイクロコンピュータの略で、前者は組み込みシステム向けの統合型のICチップ、後者はパソコンの旧称を意味する。",
"インスタンス","instance","事実、事例、例、場合などの意味を持つ英単語。ソフトウェアの分野では、あらかじめ定義されたコンピュータプログラムやデータ構造などを、メインメモリ上に展開して処理・実行できる状態にしたものを指す。この意味では「実体」と訳されることもある。",
"HMI","Human Machine Interface","人間と機械が情報をやり取りするための手段や、そのための装置やソフトウェアなどの総称。コンピュータにおけるは特にユーザーインターフェース（UI：User Interface）と呼ばれることが多い。",
"VGA","Video Graphics Array","IBM社がパソコン製品に搭載したグラフィック表示システムの名称。転じて、同システムで採用された640×480ピクセルの画素数や表示モード。また、同システムからディスプレイへアナログRGB信号を出力するコネクタ（端子）を指すこともある。",
"フルHD","Full HD","画面や映像を構成する画素数を表す用語の一つで、1920×1080ピクセルのこと。縦横比（アスペクト比）は16：9。HD（High Definition）映像・機器のうち、最も広いためこのように呼ばれる。",
"リポジトリ","repository","容器、貯蔵庫、倉庫、集積所、宝庫などの意味を持つ英単語。日本語の外来語としては、複数（多数）のデータや情報などが体系立てて保管されているデータベース（学術機関の「機関」など）のことを指すことが多い。",
"プロキシ","proxy","企業などの内部ネットワークとインターネットの境界にあり、内部のコンピュータの「代理」（proxy）としてインターネット上のコンピュータへ接続を行うコンピュータのこと。また、そのような機能を持つサーバソフトウェア。",
"インフラ","infrastructure","基盤、下部構造などの意味を持つ英単語。一般の外来語としては、道路や鉄道、上下水道、発電所・電力網、通信網、港湾、空港、灌漑・治水施設などの公共的・公益的な設備や施設、構造物などを指すことが多い（社会）。",
"EXEファイル","EXE file","米マイクロソフト（Microsoft）社のWindowsで用いられる実行可能プログラムのファイル形式の一つ。ファイル名の標準の拡張子が「.exe」であることからこのように呼ばれる。",
"コンパイラ","compiler","人間に分かりやすく複雑な機能や構文を持つ高水準プログラミング言語（高級言語）で書かれたコンピュータプログラムを、コンピュータが解釈・実行できる形式に一括して変換するソフトウェア。",
"PCI Express","PCIe","コンピュータの拡張バスおよび拡張スロットの標準仕様の一つで、PCI（Peripheral Component Interconnect）バス・スロットの後継となるシリアル伝送インターフェース。",
"POP","Post Office Protocol","インターネットなどのTCP/IPネットワークで標準的に用いられる、電子メール（eメール）を受信するための通信規約（プロトコル）の一つ。",
"ダイアログボックス","dialog box","コンピュータの操作画面で、利用者に何らかの入力を促すために表示される矩形の領域のこと。小さなウィンドウの形で表示されることが多い。“dialog” は「対話」の意。",
"オブジェクト","object","物、物体、目標物、対象、目的語、客体、などの意味を持つ英単語。",
"MDF","Main Distribution Frame","電話局や集合住宅、ビルなどで、外部に通じる通信回線をすべて収容し、集中的に管理する集線装置。",
"EC","Electronic Commerce","データ通信やコンピュータなど電子的な手段を介して行う商取引の総称。狭義にはインターネットを通じて遠隔地間で行う商取引を指す。より狭義には、Webサイトなどを通じて企業が消費者に商品を販売するネット通販（オンラインショップ）を指す場合もある。",
"ウィジェット","widget","システム画面などに小さく表示される単機能のアプリケーションソフト。また、コンピュータの操作画面（GUI）を構成する、何らかの機能を持った表示・操作要素。前者は「ガジェット」（gadget）とも呼ばれる。",
"シンボリックリンク","symbolic link","オペレーティングシステム（OS）のファイルシステムの機能の一つで、特定のファイルやディレクトリを指し示す別のファイルを作成し、それを通じて本体を参照できるようにする仕組み。",
"非ノイマン型コンピュータ","non-von Neumann architectures","現在のほとんどのコンピュータの基本設計にあたる「ノイマン型コンピュータ」とは異なる基本設計のコンピュータの総称。",
"コンポーネント","component","部品、成分、構成要素などの意味を持つ英単語。ITの分野では機器やソフトウェア、システムの構成する部品や要素などのことを意味する。",
"レンダリング","rendering","何らかの抽象的なデータ集合を元に、一定の処理や演算を行って画像や映像、音声などを生成すること。",
"エイリアス","alias","偽名、別名、通称などの意味を持つ英単語。ITの分野では、ある対象や実体を、複数の異なるシンボルや識別子で同じように参照できるする仕組みを指す。別名。",
"SaaS","Software as a Service","ソフトウェアをインターネットを通じて遠隔から利用者に提供する方式。利用者はWebブラウザなどの汎用クライアントソフトを用いて事業者の運用するサーバへアクセスし、ソフトウェアを操作・使用する。従来「ASPサービス」と呼ばれていたものとほぼ同じもの。",
"PIOモード","Programmed I/O","コンピュータ本体とハードディスクなどのストレージ（外部記憶装置）を繋ぐATA（AT Attachment）インターフェースで利用される転送方式の一つで、データ転送をCPUが管理する方式。",
"バイナリ","binary","2値（の）、2進数（の）、2元（の）、などの意味を持つ英単語。IT関連ではテキスト（文字）以外のデータ形式全般を総称してと呼ぶことが多い。",
"FTP","File Transfer Protocol","インターネットなどのTCP/IPネットワークでファイル転送を行うことができるプロトコル（通信規約）の一つ。",
"PPPoE","PPP over Ethernet","標準的な通信プロトコル（通信手順）の一つで、常時接続の通信回線やネットワーク上で、二台の機器の間で仮想的な専用の伝送路を確立し、相互に安定的にデータの送受信を行うことができるようにするもの。家庭などからxDSL（ADSLなど）や光ファイバー（FTTH）、CATVなどの常時接続のインターネット接続サービスを利用する際によく利用される。",
"アクティビティ","activity","「活動」という意味の英単語。ITの分野では、人間の行動や作業、業務手順の単位、システムや回線の稼動状況などの意味で用いられることが多い。",
"SOAP","Simple Object Access Protocol","異なるコンピュータ上で動作するプログラム同士がネットワークを通じてメッセージを伝え合い、連携して動作するための通信プロトコル（規約）の一つ。メッセージの記述にXMLを、データ伝送に主にHTTPを用い、Webサービスの提供や利用に適しているとされる。",
"DLLファイル","Dynamic Link Library","Windowsのプログラムファイルの種類の一つで、様々なプログラムから利用される汎用性の高い機能を収録した、部品化されたプログラムのこと。標準のファイル拡張子は「.dll」。",
"IT","Information Technology","情報を取得、加工、保存、伝送するための科学技術。特に、電気、電子、磁気、電磁波などの物理現象や法則を応用したコンピュータなどの機械や器具、および、その内部で動作するコンピュータプログラム（ソフトウェア）を用いて情報を扱う技術のこと。",
"キャリブレーション","calibration","較正、校正、調整などの意味を持つ英単語。測定器で標準通りの値を得るために、標準器などを用いてその機器の偏りを計測したり、正しい値になるよう調整したりすること。",
"ビット","bit","情報量の最小単位で、二つの選択肢から一つを特定する情報の量。語源は “binary digit” （二進法の数字）と言われ、コンピュータなどでは0と1のいずれかを取る二進数の一桁として表される。情報をすべて列に置き換えて扱うことを「デジタル」（digial）という。",
"プロトコル","protocol","手順、手続き、外交儀礼、議定書、協定などの意味を持つ英単語。通信におけるとは、複数の主体が滞りなく信号やデータ、情報を相互に伝送できるよう、あらかじめ決められた約束事や手順の集合のこと。",
"ハブ","hub","車輪やプロペラなどの中心にある部品や構造のこと。転じて、中心地、結節点、集線装置などの意味で用いられる。",
"LAN","Local Area Network","限られた範囲内にあるコンピュータや通信機器、情報機器などをケーブルや無線電波などで接続し、相互にデータ通信できるようにしたネットワークのこと。概ね室内あるいは建物内程度の広さで構築されるものを指す。",
"SLA","Service Level Agreement","サービスを提供する事業者が契約者に対し、どの程度のサービス品質を保証するかを提示したもの。通信サービスやホスティングサービス、クラウドサービスなどでよく用いられる。",
"IOPS","Input/Output Per Second","ハードディスクやSSDなどのストレージ（外部記憶装置）の性能指標の一つで、ある条件の元で1秒間に読み込み・書き込みできる回数のこと。",
"スレッド","thread","撚り糸、筋、脈絡などの意味を持つ英単語。ITの分野では、コンピュータが連続して実行する命令の列など、一筋の連続した流れになっているものを比喩的に表す。",
"VPN","Virtual Private Network","通信事業者の公衆回線を経由して構築された仮想的な組織内ネットワーク。また、そのようなネットワークを構築できる通信サービス。企業内ネットワークの拠点間接続などに使われ、あたかも自社ネットワーク内部の通信のように遠隔地の拠点との通信が行える。",
"ルーティング","routing","ネットワーク上でデータを送信・転送する際に、宛先アドレスの情報を元に最適な転送経路を割り出すこと。特に、インターネットなどのIPネットワークにおいて、パケットの転送先を決定すること。",
"キャッシュメモリ","cache memory","マイクロプロセッサ（MPU/CPU）内部に設けられた高速な記憶装置。使用頻度の高いデータを蓄積しておくことにより、相対的に低速なメインメモリ（主記憶装置）へのアクセスを減らすことができ、処理を高速化することができる。",
"カスケード","cascade","何段も連なった小さな滝のこと。転じて、同じものがいくつも数珠つなぎに連結された構造や、連鎖的あるいは段階的に物事が生じる様子を表す。",
"OS","Operating System","ソフトウェアの種類の一つで、機器の基本的な管理や制御のための機能や、多くのソフトウェアが共通して利用する基本的な機能などを実装した、システム全体を管理するソフトウェア。",
"データベース","database","複数の主体で共有、利用したり、用途に応じて加工や再利用がしやすいように、一定の形式で作成、管理されたデータの集合のこと。",
"R＆D","Research and Development","企業などで科学研究や技術開発などを行う業務のこと。また、そのような業務を担う部署や組織。",
"チェックサム","checksum","誤り検出符号の一つで、データ列を整数値の列とみなして和を求め、これをある定数で割った余り（余剰）を検査用データとするもの。最も単純な誤り検出方式の一種で、誤りの検出精度は低いが原理が簡単で容易に実装でき、計算コストも低いため、簡易な誤り検出方式として広く普及している。",
"サードパーティ","third party","「第三者」という意味の英単語。ある事柄について、その直接の当事者ではない関係者のこと。外来語でと表記するのはIT分野が多い。",
"REST","Representational State Transfer","分散システムにおいて複数のソフトウェアを連携させるのに適した設計原則の一つ。2000年にロイ・フィールディング（Roy Fielding）氏が提唱した。狭義には、それをWebシステムに適用したソフトウェアの設計様式を指し、一般にはこの意味で用いられることがほとんどである。",
"アセット","asset","資産、財産、資源、有価物、有用なもの、利点、長所、などの意味を持つ英単語。一般の外来語としては、経済的な価値や換金性が高い資産（現預金や有価証券、不動産、生産機械など）や、各種の経営資源のことをということが多い。",
"リソース","resource","資源、資産、資料、供給源などの意味を持つ英単語。目的を達するために役立つ、あるいは必要となる要素のこと。ビジネス分野で人材・物資・資金をまとめて指す用例のように、異なる種類の要素を包括的、総称的に表す用語としてよく用いられる。",
"Webサーバ","web server","Webシステム上で、利用者側のコンピュータに対しネットワークを通じて情報や機能を提供するコンピュータおよびソフトウェアのこと。そのような機能を果たすサーバコンピュータを指す場合と、コンピュータ上で動作するサーバソフトウェアを指す場合がある。",
"MP3","MPEG Audio Layer-3","音声データを圧縮する方式およびファイル形式の一つで、動画圧縮方式のMPEG-1で音声を記録するために策定されたもの。標準のファイル拡張子は「.mp3」。最も普及している音声圧縮形式の一つである。",
"サブスクリプション","subscription","予約購読、購読料、会費、寄付（金）、出資（金）、応募、申込、加入、署名、承諾などの意味を持つ英単語。雑誌などの定期購読といった意味があり、ITの分野では会員制のサービスへの加入や、定額制のコンテンツ配信サービス、定期的に利用権を更新するソフトウェアの販売方式などを指すことが多い。",
"iLO","integrated Lights-Out","米HPE（Hewlett Packard Enterprise）社のサーバ製品の一部に搭載されている、遠隔からの監視や操作を受け付けるための特殊な半導体チップ。また、そのチップと同社の専用ソフトウェアなどを組み合わせて提供される遠隔管理機能。",
"マウント","mount","上がる（こと）、上げる、登る（こと）、乗る（こと）、乗っかる、乗せる、増す、取り付ける、備える、搭載する、はめ込む、取り付け具、台などの意味を持つ英単語。",
"IPアドレス","Internet Protocol Address","インターネットなどのTCP/IPネットワークに接続されたコンピュータや通信機器の一台ごとに割り当てられた識別番号。現在主流のIPv4では32ビットの値となっており、一つのネットワークに最大約42億台が参加できる。",
"TCP","Transmission Control Protocol","インターネットなどのネットワークで、IP（Internet Protocol）の一段階上位層のプロトコル（通信規約）として標準的に使われるものの一つ。",
"PNG","Portable Network Graphics","画像データを圧縮して記録するファイル形式の一つ。フルカラーの画像を無劣化（lossless）で圧縮することができ、図やイラストなど向いている。ファイル名の標準の拡張子は「.png」。",
"スケーリング","scaling","（規模などの）増減、（面積などの）拡大縮小、などの意味を持つ英単語。一般の外来語としては「歯石の」のように（汚れなどを）剥がしたり削り落としたりすることを表す場合もある。",
"SMB","Server Message Block","構内ネットワーク（LAN）上の複数のWindowsコンピュータの間でファイル共有やプリンタ共有などを行うためのプロトコル（通信規約）および通信サービス。",
"ソース","source","源、起源、情報源、発信源、原典、出典、転送元、複製元、水源、光源、音源などの意味を持つ英単語。外来語としてはタレを意味する（sauce）と同音異義語だが、英語では綴りも発音も全く異なり何の共通点もない。",
"PIN","Personal Identification Number","情報システムが利用者の本人確認のために用いる秘密の番号。",
"USBマスストレージクラス","USB Mass Storage Class","USB機器の典型的な機能や接続・制御仕様の標準を定めたUSBデバイスクラスの一つで、ストレージ（外部記憶装置）について定めた規格。また、同規格に基づいて設計されたUSBストレージ装置を認識・制御することができる汎用のデバイスドライバ。",
"RFP","Request For Proposal","情報システムの導入や業務委託を行うにあたり、発注先候補の事業者に具体的な提案を依頼する文書。システムの目的や概要、要件や制約条件などが記述されている。",
"AVI","Audio Video Interleave","Microsoft社が開発した、動画を保存するためのファイル形式の一つ。動画と付随する音声を記録・再生するためのもので、同社のWindowsをはじめ様々なソフトウェアが対応している。ファイル名の末尾に付ける標準の拡張子は「.avi」。",
"ユーザーインターフェース","user interface","機器やソフトウェア、システムなどとその利用者の間で情報をやり取りする仕組み。システムから利用者への情報の提示・表示の仕方と、利用者がシステムを操作したり情報を入力したりする手段や方式、機器、使い勝手などの総体を表す。",
"デバイス","device","機器、装置、道具という意味の英単語。ITの分野では、比較的単純な特定の機能・用途を持った部品や装置という意味で用いられることが多い。",
"量子化","quantization","アナログ信号などの連続量を整数などの離散値で近似的に表現すること。自然界の信号などをコンピュータで処理・保存できるようデジタルデータに置き換える際などによく行われる。",
"ノード","node","節、結節（点）、節点、交点、中心点、集合点、こぶ、膨らみ、などの意味を持つ英単語。ITの分野では網状構造の構成要素などをこのように呼ぶ。",
"IP","Internet Protocol","複数の通信ネットワークを相互に接続し、データを中継・伝送して一つの大きなネットワークにすることができる通信規約（プロトコル）の一つ。によって接続された世界規模の巨大なコンピュータネットワークをインターネット（the Internet）という。",
"コンパイル","compile","プログラミング言語で書かれたコンピュータプログラム（ソースコード）を解析し、コンピュータが直接実行可能な形式のプログラム（オブジェクトコード）に変換すること。そのためのソフトウェアをコンパイラ（compiler）という。",
"ペイロード","payload","有料荷重、有効搭載量、最大積載量、積載物などの意味を持つ英単語。通信・ネットワークの分野において、送受信されるデータの伝送単位（パケットやデータグラムなど）のうち、宛先などの制御情報を除いた、相手に送り届けようとしている正味のデータ本体のことをという。",
"プロセッサ","processor","処理装置、処理機、加工業者などの意味を持つ英単語。ITの分野では、一定の手順に基づいてデータを変換・演算・加工する機能を持った装置やソフトウェア、システムなどのことをという。扱う処理の種類や対象によって「○○」のように用いる。",
"ATA","AT Attachment","コンピュータ本体にハードディスクなどのストレージ装置（外部記憶装置）を繋いで通信するための接続方式の標準規格の一つ。1986年に考案され業界標準として広く普及していたIDE（Integrated Drive Electronics）を1994年にANSI（米国国家規格協会）が-1として標準化したもの（「」の名称は1989年に提唱）。",
"メトリクス","metrics","韻律学、作詞法という意味の英単語。また、測定基準、尺度、計量、距離などを意味する名詞“metric”の複数形。分野や対象を表す名詞に伴って、「～の尺度」「～の測定法」「～の計量法」などの意味を付加する接尾辞でもある。",
"BMP","Bit MaP","Windowsが標準で対応している画像データのファイル形式の一つ。システムが使用するアイコンなどの画像でよく利用される。",
"WPA2","Wi-Fi Protected Access 2","無線LAN（Wi-Fi）上で通信を暗号化して保護するための技術規格の一つで、WPAの後継。また、通信機器などが同規格に準拠していることを認定する認証制度。業界団体のWi-Fi Allianceが運用している。",
"DHCP","Dynamic Host Configuration Protocol","インターネットなどのネットワークに一時的に接続するコンピュータに、IPアドレスなど必要な情報を自動的に割り当てるプロトコル。ネットワーク設定を手動で行わなくてもすぐに適切な設定で接続することができ、ネットワークの設定に詳しくないユーザでも簡単に接続できる。また、ネットワーク管理者は多くのクライアントを容易に一元管理することができる。",
"ファームウェア","firmware","コンピュータや電子機器などに内蔵されるソフトウェアの一種で、本体内部の回路や装置などの基本的な制御を司る機能を持ったもの。",
"アドオン","add-on","追加の（もの）、付け足し（たもの）、付加した（もの）、付属の（もの）、加算の（もの）などの意味を持つ英語表現。ITの分野では、ソフトウェアに追加される拡張機能のことをということが多い。",
"RJ45","Registered Jack 45","通信ケーブルを繋ぐコネクタ形状の一つで、LANケーブルなどに用いられるもの。8つのピンすべてが信号線に繋がれた8極8芯のモジュラー式コネクタで、EthernetやISDN、RS-232Cなどで利用される。",
"パラメータ","parameter","媒介変数、補助変数、母数、引数、設定値などの意味を持つ英単語。ITの分野では、ソフトウェアやシステムの挙動に影響を与える、外部から投入されるデータなどのことをということが多い。",
